Place,Indicator,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Baden-Wuerttemberg,"Employment (Number, FTE) in Manufacture of fabricated metal products, except machinery and equipment","128,608","149,464","157,552","158,906","161,816","164,565","166,196","166,860","171,866","179,585",
Baden-Wuerttemberg,"Employment (Number, FTE) in Manufacture of electrical equipment","92,066","105,869","110,141","112,077","111,801","111,770","113,154","112,799","115,274","118,270",
Baden-Wuerttemberg,"Employment (Number, FTE) in Manufacture of rubber and plastic products","56,480","65,549","67,954","68,579","68,043","70,001","70,932","71,553","73,938","74,914",
Baden-Wuerttemberg,"Employment (Number, FTE) in Manufacture of food products","59,091","69,045","71,310","71,725","71,290","70,833","71,479","73,119","74,627","74,739",
Baden-Wuerttemberg,"Employment (Number, FTE) in Manufacture of computer, electronic and optical products","61,201","69,165","70,585","71,226","71,771","69,747","71,551","72,302","72,317","74,209",
Baden-Wuerttemberg,"Employment (Number, FTE) in Other manufacturing","35,324","41,263","42,185","42,972","44,362","44,977","46,355","47,671","49,124","50,856",
Baden-Wuerttemberg,"Firms (Number) in Manufacture of fabricated metal products, except machinery and equipment","1,492","6,722","6,539","6,454","6,570","6,494","6,390","6,363","6,375","6,329",
Baden-Wuerttemberg,Firms (Number) in Manufacture of machinery and equipment n.e.c.,"1,468","6,549","6,365","6,193","6,100","6,097","6,038","5,960","5,948","5,936",
Baden-Wuerttemberg,Firms (Number) in Manufacture of food products,716,"3,397","3,459","3,389","3,376","3,358","3,244","3,238","3,267","3,180",
Baden-Wuerttemberg,Firms (Number) in Manufacture of rubber and plastic products,547,"2,452","2,404","2,379","2,305","2,304","2,297","2,256","2,219","2,156",
Baden-Wuerttemberg,Firms (Number) in Manufacture of electrical equipment,535,"2,317","2,287","2,244","2,246","2,240","2,222","2,146","2,093","2,058",
Baden-Wuerttemberg,"Firms (Number) in Manufacture of computer, electronic and optical products",402,"1,833","1,813","1,779","1,797","1,727","1,703","1,690","1,650","1,623",
Baden-Wuerttemberg,Firms (Number) in Other manufacturing,332,"1,509","1,480","1,457","1,445","1,437","1,451","1,460","1,450","1,453",
Baden-Wuerttemberg,Share at Manufacturing Employment Manufacture of machinery and equipment n.e.c.,24.7,24.3,24.3,24.5,24.5,24.7,24.7,24.5,24.8,25.1,
Baden-Wuerttemberg,"Share at Manufacturing Employment Manufacture of motor vehicles, trailers and semi-trailers",17,17,17,17.1,17.3,17.5,17.6,17.8,17.7,17.6,
Baden-Wuerttemberg,"Share at Manufacturing Employment Manufacture of fabricated metal products, except machinery and equipment",11.1,11.4,11.7,11.7,11.9,12,12,11.9,12,12.3,
Baden-Wuerttemberg,Share at Manufacturing Employment Manufacture of electrical equipment,8,8.1,8.2,8.3,8.2,8.1,8.2,8.1,8.1,8.1,
Baden-Wuerttemberg,Share at Manufacturing Employment Manufacture of food products,5.1,5.3,5.3,5.3,5.2,5.2,5.2,5.2,5.2,5.1,
Baden-Wuerttemberg,Share at Manufacturing Employment Manufacture of rubber and plastic products,4.9,5,5.1,5.1,5,5.1,5.1,5.1,5.2,5.1,
Baden-Wuerttemberg,"Share at Manufacturing Employment Manufacture of computer, electronic and optical products",5.3,5.3,5.3,5.3,5.3,5.1,5.2,5.2,5.1,5.1,
Baden-Wuerttemberg,Share at Manufacturing Employment Other manufacturing,3.1,3.1,3.1,3.2,3.3,3.3,3.3,3.4,3.4,3.5,
Baden-Wuerttemberg,Wages Manufacture of machinery and equipment n.e.c.,"12,548.40","14,199","15,464.50","16,254.90","16,783.20","17,596.50","18,294.90","18,875.50","19,908.50","21,283",
Baden-Wuerttemberg,"Wages Manufacture of motor vehicles, trailers and semi-trailers","9,984.40","11,248","12,394.60","13,185","13,775.80","14,429.70","15,270.60","15,858.10","16,489.40","17,561.50",
Baden-Wuerttemberg,"Wages Manufacture of fabricated metal products, except machinery and equipment","4,465.10","5,285.30","5,790.50","5,999","6,261","6,487.20","6,707.90","6,821.60","7,161.80","7,687.60",
Baden-Wuerttemberg,Wages Manufacture of electrical equipment,"3,817.40","4,283","4,609","4,893.20","5,056.20","5,128.40","5,354.80","5,441.70","5,673.80","5,986",
Baden-Wuerttemberg,"Wages Manufacture of computer, electronic and optical products","2,893.30","3,281.90","3,366.30","3,518.50","3,666.60","3,634.20","3,834.60","3,938.40","4,047","4,224.50",
Baden-Wuerttemberg,Wages Manufacture of rubber and plastic products,"1,965","2,282.80","2,438.70","2,526.20","2,568","2,667.50","2,749.30","2,834.10","3,015.90","3,056.90",
Baden-Wuerttemberg,Wages Other manufacturing,"1,306.50","1,525.50","1,627.20","1,696.70","1,766.60","1,829","1,926.70","2,016.20","2,120.80","2,255.40",
Baden-Wuerttemberg,Wages Manufacture of food products,"1,413","1,582.50","1,645.80","1,698.20","1,742","1,771.20","1,810.20","1,876.90","1,953.30","2,016.50",
North Rhine-Westphalia,"Employment (Number, FTE) in Manufacture of machinery and equipment n.e.c.","197,354","226,127","234,743","238,326","239,024","237,223","234,310","228,554","229,669","235,942",
North Rhine-Westphalia,"Employment (Number, FTE) in Manufacture of fabricated metal products, except machinery and equipment","159,386","186,661","193,527","195,557","196,218","200,304","201,950","203,405","203,511","204,069",
North Rhine-Westphalia,"Employment (Number, FTE) in Manufacture of basic metals","109,704","125,726","126,642","128,040","126,118","124,609","125,626","123,302","123,462","125,112",
North Rhine-Westphalia,"Employment (Number, FTE) in Manufacture of food products","85,942","102,188","102,212","102,740","101,916","101,283","105,453","107,769","114,422","118,176",
North Rhine-Westphalia,"Employment (Number, FTE) in Manufacture of chemicals and chemical products","85,202","106,072","106,406","106,062","106,784","107,828","109,903","108,152","108,943","111,734",
North Rhine-Westphalia,"Employment (Number, FTE) in Manufacture of electrical equipment","83,849","96,997","100,047","101,425","101,467","101,911","99,542","100,208","101,448","104,482",
North Rhine-Westphalia,"Employment (Number, FTE) in Manufacture of motor vehicles, trailers and semi-trailers","81,983","97,029","98,628","99,254","96,632","97,327","94,510","94,566","95,334","95,893",
North Rhine-Westphalia,"Employment (Number, FTE) in Manufacture of rubber and plastic products","67,028","80,930","83,282","84,260","85,695","87,378","88,460","90,460","92,207","94,869",
North Rhine-Westphalia,Firms (Number) in Manufacture of food products,949,"4,462","4,351","4,277","4,078","3,939","3,900","3,872","3,868","3,878",
North Rhine-Westphalia,Firms (Number) in Manufacture of chemicals and chemical products,412,"2,002","1,942","1,916","1,880","1,862","1,858","1,874","1,855","1,869",
North Rhine-Westphalia,Firms (Number) in Manufacture of rubber and plastic products,685,"3,060","3,056","2,987","2,993","2,931","2,918","2,946","2,958","2,938",
North Rhine-Westphalia,Firms (Number) in Manufacture of basic metals,458,"1,992","1,941","1,886","1,872","1,820","1,819","1,759","1,700","1,617",
North Rhine-Westphalia,"Firms (Number) in Manufacture of fabricated metal products, except machinery and equipment","1,887","8,480","8,286","8,317","8,178","8,425","8,269","8,107","7,977","7,508",
